Plot_id,No_trees_ha,BA_sqm_ha,Volume_final_cum_ha,stem_ton_ha,Total_biom_ad_ton_ha,Total_biom_od_ton_ha,carbon_ton_ha,Mean_Diameter2022,Mean_HT_2022
47-55-2,784.09,14.563687553277342,121.215845129336,95.6335073161846,138.81437089255843,126.19488262959855,59.31159483591132,23.969230769230766,14.666153846153845
47-55-3,960.28,24.745930379152373,194.01022404469506,161.8369872561064,234.67658249878878,213.3423477261716,100.27090343130065,31.217391304347824,15.459999999999999
47-55-5,1358.39,15.8156538675435,101.46203615930278,79.07431077678297,115.7099624742818,105.1908749766198,49.4397112390113,17.481818181818184,12.030909090909091
48-52-1,1051.13,20.07925559311601,165.15390750037284,139.12233517534287,196.50583935549096,178.6416721413554,83.96158590643704,25.90952380952381,14.542380952380952
48-52-2,284.32,16.50388111717881,152.57407464427095,124.35818766571478,176.91788268149594,160.83443880135994,75.59218623663917,30.810526315789474,19.47684210526316
48-52-3,581.4,29.443223841902952,281.4624660465438,236.9398962478784,339.91334762751455,309.0121342068314,145.23570307721073,34.25,17.01125
48-52-4,566.8199999999999,17.145841000831354,140.285438217545,120.21455336206276,165.13052637443909,150.11866034039917,70.5557703599876,27.57,15.766
48-52-5,620.77,22.073248781984557,181.28541640880627,151.00429108724433,211.2691581755876,192.062871068716,90.2695494022965,28.71153846153846,16.573076923076922
48-52-6,615.6800000000001,24.50582146071347,215.27883187750018,187.25502136453633,264.98996131572534,240.89996483247756,113.22298347126444,32.291666666666664,17.88416666666667
5-73-4,424.89,12.59682885779055,89.71091232697356,58.01348127228107,84.47460579479433,76.79509617708575,36.0936952032303,28.19333333333333,16.557333333333332
5-76-1,210.92000000000002,24.38632562771871,219.17605773595398,177.672211804774,253.19130000393906,230.17390909449003,108.18173727441032,44.89375,19.110625
5-76-3,517.35,40.785060529047115,371.58562141250735,326.9953468430065,447.79401567443387,407.08546879493986,191.3301703336217,36.435135135135134,18.624864864864865
5-76-4,213.36,28.95079054245621,244.84496193513024,213.31161393316913,299.0101071027011,271.82737009336466,127.75886394388138,44.125,17.69
5-76-6,265.75,23.037254239618456,201.605503848714,169.84103187778518,241.92493887605073,219.93176261459155,103.36792842885801,38.26315789473684,17.67578947368421
5-79-2,264.6,16.832531308519698,209.69927110211103,161.52615687194503,231.2923912220442,210.26581020185836,98.82493079487341,60.25,22.1
5-79-3,2013.32,32.649949847926635,244.66683995857693,164.1526977048124,237.51683780222666,215.92439800202422,101.48446706095137,24.0,10.24263157894737
5-79-6,712.26,25.204484397847608,225.05321739956975,151.26374086067676,218.70583940074792,198.82349036431629,93.44704047122865,29.03846153846154,12.212307692307691
50-53-1,524.35,12.601695820983474,97.86275583830873,84.56280396539064,121.34456151197301,110.31323773815728,51.84722173693392,30.2,16.370714285714286
50-53-2,487.01,12.724289444976254,91.94447422775335,73.0268195297712,106.53782302617515,96.85256638743195,45.52070620209302,25.2375,14.401875
50-53-3,195.21,6.412108706298598,49.739821602228744,41.09877157267943,58.21046094305008,52.91860085731825,24.871742402939578,26.975,15.21125
50-53-4,623.83,13.67200603529861,101.70154651330229,89.87513044984516,130.7017318827281,118.81975625702552,55.845285440801995,27.425,15.251875
50-53-5,294.67,6.810262119060724,48.75504998635543,45.0437784357662,65.48766882216152,59.5342443837832,27.9810948603781,29.5,15.418571428571429
50-53-6,593.09,10.230741107486951,83.06261806173919,64.60296997258666,90.24306090011896,82.03914627283541,38.55839874823264,26.27,14.538
51-51-1,734.59,19.758716569891682,147.79321573549845,129.72568282733496,188.31575054748907,171.19613686135366,80.46218432483623,27.05,14.591999999999999
51-51-2,184.84,21.88943383453986,197.754079688981,152.91323493746756,221.288986783136,201.17180616648727,94.55074889824901,36.30588235294118,18.63
51-51-3,1305.34,28.154374766498734,212.18852032631102,156.7983021084705,228.00707222700137,207.27915657000122,97.42120358790056,28.799999999999997,15.715483870967741
51-51-4,421.81,21.23373480017343,172.99535677277274,128.27292700746108,186.1752646091974,169.25024055381581,79.54761306029343,33.599999999999994,17.412272727272725
51-51-5,1063.73,20.944119871447114,154.66421849594107,111.25232465452031,162.82400509808446,148.0218228164404,69.57025672372698,25.33076923076923,15.458076923076923
51-51-6,417.19,17.45546236126593,136.84673878901384,100.69875594314372,146.77256946105985,133.4296086009635,62.71191604245284,25.904,15.9816
52-51-1,452.54,18.464350865641745,142.58709345741198,118.75123417995717,172.67502813626558,156.97729830569597,73.7793302036771,29.099999999999998,15.381764705882354
52-51-3,604.85,24.51111649732137,208.50692056931535,179.26446829487105,260.02982520579184,236.39075018708348,111.10365258792923,31.150000000000002,17.299583333333334
52-51-4,886.6800000000001,16.454927610937403,116.2588876336073,93.44670103747175,132.67152638529706,120.61047853208822,56.68692491008146,22.572727272727274,13.576363636363636
52-51-5,602.4300000000001,20.447521299234594,169.1473091702697,138.37245374693435,197.28429670594664,179.34936064176966,84.29419950163174,26.208695652173912,15.686521739130436
52-51-6,961.16,15.376237614479843,91.94637511856682,79.1144301919506,115.95758109289207,105.41598281172007,49.54551192150843,21.625,11.922
53-54-2,388.63,15.130376526286016,135.6202426369741,118.2897623465075,173.07029081324626,157.33662801204204,73.94821516565975,34.1,17.349999999999998
53-54-3,521.9300000000001,18.954844836381476,170.01475458250442,150.94193306561397,213.91641817171083,194.46947106519164,91.40065140064007,32.169230769230765,16.017692307692307
53-54-4,71.64,23.88584769123383,261.00082345936,229.68072464423682,326.40288136838893,296.7298921530808,139.46304931194797,63.266666666666666,24.615555555555556
53-54-5,378.69,26.531079284869694,249.74812559065583,220.13858317328564,311.62241188219673,283.2931017110879,133.1477578042113,44.20625,18.58625
53-54-6,778.36,32.05257074267884,269.32593073664555,234.5492450894101,328.97362438864087,299.0669312624008,140.56145769332835,37.91818181818182,17.282272727272726
54-51-1,447.64,4.650359081669576,24.18810905173842,23.220584689668883,34.06792372051738,30.970839745924888,14.556294680584696,12.566666666666668,9.084999999999999
54-51-2,746.08,11.432781411943836,73.670427764188,64.35282736602645,76.92334488773095,69.93031353430085,32.8672473611214,14.9,11.101666666666667
54-51-3,646.6,8.486262702630304,47.41076417311878,45.33240827774066,66.45829937490669,60.416635795369714,28.395818823823767,13.85,9.555
54-51-4,1520.36,6.9403488735013035,28.27376660883219,25.209072691068208,34.82527752972379,31.659343208839804,14.879891308154708,10.318181818181818,6.501818181818181
54-51-5,248.68,1.4580482421209635,2.7085793047426177,2.427809044590214,3.56778166598848,3.2434378781713455,1.5244158027405323,10.1,2.7
54-51-6,195.21,6.968772582260309,54.92186968206117,44.73921993052756,63.35156820508433,57.59233473189483,27.06839732399057,27.5625,15.465
55-54-2,1074.5900000000001,17.530809918916564,122.14417780723869,107.48687647037005,129.38989106312786,117.6271736937526,55.28477163606372,16.976190476190474,12.577142857142857
55-54-3,2942.8,48.629165066404546,360.4853608178329,317.2271175196929,385.80674568499285,350.7334051681753,164.84470042904238,16.547457627118643,13.17593220338983
57-48-2,1634.03,17.579305223869444,92.68093956756775,71.94622359588101,100.28192326701851,91.16538478819865,42.84773085045336,14.280000000000001,8.878
57-48-3,1307.29,7.880451594116202,35.51791891911157,28.65535263052434,44.05555366283228,40.05050332984752,18.823736565028334,11.266666666666666,7.119166666666666
57-48-4,1266.91,18.17672245234409,109.36053187412946,87.89182146432977,128.85048367398642,117.13680333998765,55.054297569794194,17.677777777777777,11.131851851851852
57-48-5,488.78000000000003,14.081849432134469,112.86329169771074,94.36283328599536,137.07914180090273,124.61740163718429,58.57017876947661,27.494117647058825,15.533529411764706
58-48-1,942.1800000000001,21.38240069009391,162.0561790433194,125.22388440773058,182.6755581157321,166.06868919612006,78.05228392217643,24.082142857142856,15.442499999999999
58-48-2,1373.23,25.211797876319515,179.71626985003442,143.18985923431487,209.3931331547723,190.3573937770657,89.46797507522088,20.486206896551725,13.56655172413793
58-48-3,2063.75,22.671344869361732,122.9709322197409,98.96632430380821,144.96725431619282,131.78841301472073,61.94055411691874,17.003846153846155,9.875
58-48-4,907.43,10.864904634168767,72.83943445076751,53.29282578489213,77.71335967822783,70.64850879838893,33.204799135242794,21.779999999999998,12.942666666666666
58-48-5,716.02,14.662418794008754,106.24620559331507,90.27874753332488,131.76366124996932,119.7851465908812,56.299018897714156,24.555,15.74
58-48-6,500.08000000000004,18.006307583518183,121.28409835981192,97.34663469477628,142.10673077221375,129.18793706564884,60.718330420854954,24.686363636363637,14.183181818181817
59-48-1,481.92,14.646642775989948,134.40864184417615,115.76653247233081,161.43980385083287,146.7634580462117,68.9788252817195,28.421428571428574,15.758571428571429
59-48-2,58.370000000000005,5.717087526930447,35.919839786695945,24.96532278168827,34.563595863463746,31.421450784967035,14.768081868934505,36.4,11.0
59-48-3,1472.3899999999999,7.186507556913225,27.94019434515821,19.819186802516654,28.506868155165407,25.915334686514,12.18020730266158,13.090909090909092,6.357272727272728
59-48-4,1168.51,14.779115020272215,104.09680205366026,87.81672417489685,123.76757974850881,112.51598158955345,52.88251134709012,18.759999999999998,12.432500000000001
59-48-5,941.9,11.058450225034983,53.56036897931749,45.625679337996786,66.59509517058073,60.54099560961885,28.454267936520857,22.557142857142857,9.766428571428571
59-48-6,833.4,18.460048258153112,95.02229168960555,78.14475547866272,114.50084916537352,104.09168105943047,48.92309009793232,23.926315789473687,12.053684210526317
6-76-3,676.4200000000001,25.808115162520302,256.03322849271615,223.64465803818393,318.4008877770607,289.4553525246006,136.04401568656226,48.93076923076923,19.900769230769228
6-76-4,1323.25,18.126552592113047,128.31146259242595,105.23401930728483,149.65549050314223,136.05044591194746,63.943709578615305,17.65,10.9265
6-76-6,143.28,31.597342704564014,301.73869764613687,266.6643901341808,377.9205483562643,343.56413486933116,161.47514338858565,52.355555555555554,21.072222222222223
60-52-3,388.89,16.293854982579276,121.48470813188568,105.97085879811097,138.45354863114207,125.86686239194734,59.15742532421524,26.37826086956522,14.490869565217393
60-52-4,137.97,13.913290765473953,121.11680070034004,106.58278461629924,145.39890277228346,132.1808207020759,62.124985729975656,35.78666666666666,17.426
60-52-5,1245.89,23.134836340735056,177.73782353720372,152.33328760932244,203.84887642006393,185.3171603818763,87.09906537948186,24.94516129032258,14.999354838709678
62-43-1,570.36,20.999376072286083,179.69780899089906,158.4575034482406,225.0799753410348,204.61815940094073,96.17053491844213,30.704545454545453,17.251818181818184
62-43-2,712.91,9.029404928191516,53.28180404011545,39.38485106734827,57.587207588380906,52.352006898528096,24.6054432423082,19.484615384615385,11.210769230769232
